"","codcomp","depto","secc","seg","zona","codloc","nomdepto","nomloc","nombarrioi","ccz","v_tot","v_tot_oc","v_tot_des","v_par","v_par_oc","v_par_des","v_col","v_col_oc","v_col_des","p_tot","p_tot_fem","p_tot_masc","p_part","p_part_fem","p_part_masc","p_col","p_col_fem","p_col_masc"
"13435","0301203858","03","01","203","858","03320","CANELONES","CANELONES","N/A","N/A",10,9,1,10,9,1,0,0,0,30,17,13,29,16,13,0,0,0
"13436","0121108803","01","21","108","803","01020","MONTEVIDEO","MONTEVIDEO","PEÑAROL, LAVALLEJA","13",83,75,8,83,75,8,0,0,0,190,101,89,183,98,85,0,0,0
"13437","0122230013","01","22","230","013","01020","MONTEVIDEO","MONTEVIDEO","VILLA ESPAÑOLA","11",20,19,1,20,19,1,0,0,0,59,27,32,51,23,28,0,0,0
"13438","1309308022","13","09","308","022","13020","RIVERA","RIVERA","N/A","N/A",22,22,0,22,22,0,0,0,0,86,41,45,76,37,39,0,0,0
"13439","1809201031","18","09","201","031","18521","TACUAREMBO","SAN GREGORIO DE POLANCO","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13440","0199155003","01","99","155","003","01020","MONTEVIDEO","MONTEVIDEO","FLOR DE MAROÑAS","09",82,72,10,80,72,8,2,0,2,210,108,102,191,103,88,0,0,0
"13441","0121104020","01","21","104","020","01020","MONTEVIDEO","MONTEVIDEO","PEÑAROL, LAVALLEJA","13",36,36,0,36,36,0,0,0,0,103,50,53,91,44,47,0,0,0
"13442","1110006600","11","10","006","600","11953","PAYSANDU","GALLINAL","N/A","N/A",2,1,1,2,1,1,0,0,0,4,2,2,4,2,2,0,0,0
"13443","1410108603","14","10","108","603","14722","ROCHA","LA PALOMA","N/A","N/A",10,2,8,10,2,8,0,0,0,3,2,1,3,2,1,0,0,0
"13444","0316113007","03","16","113","007","03530","CANELONES","FRACC. CNO. ANDALUZ Y R.84","N/A","N/A",25,24,1,25,24,1,0,0,0,59,27,32,59,27,32,0,0,0
"13445","0912101404","09","12","101","404","09521","LAVALLEJA","JOSE BATLLE Y ORDOÑEZ","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
